"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210801 ~ 20210831"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202108","3","38,000","9","2004","학동로 165",""
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202108","10","37,000","7","2004","학동로 165",""
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","35.73","202108","5","93,000","3","1997","강남대로146길 28",""
"서울특별시 강남구 논현동","62-3","0062","0003","청학아파트 에이동,비동,씨동","97.18","202108","13","165,000","6","1976","도산대로 232",""
"서울특별시 강남구 대치동","888","0888","0000","대치아이파크","119.58","202108","2","370,000","18","2008","선릉로 222",""
"서울특별시 강남구 대치동","1027","1027","0000","래미안대치팰리스","94.49","202108","20","371,000","12","2015","삼성로51길 37",""
"서울특별시 강남구 대치동","506","0506","0000","선경2차(8동-12동)","84.55","202108","12","290,000","12","1985","삼성로 151",""
"서울특별시 강남구 대치동","66","0066","0000","쌍용대치아파트1동, 2동, 3동, 5동, 6동","128.03","202108","11","310,000","4","1983","영동대로 210",""
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202108","2","262,000","4","1979","삼성로 212",""
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202108","4","260,000","5","1979","삼성로 212",""
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202108","11","262,500","4","1979","삼성로 212",""
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션1","128.01","202108","20","365,000","12","1983","삼성로 150",""
"서울특별시 강남구 도곡동","467-6","0467","0006","대림아크로빌","69.18","202108","11","142,000","3","1999","언주로30길 13",""
"서울특별시 강남구 도곡동","952","0952","0000","대우디오빌","25.89","202108","25","24,800","7","2004","강남대로 256",""
"서울특별시 강남구 도곡동","934-10","0934","0010","도곡우성아파트","84.83","202108","9","210,000","9","1986","남부순환로363길 49",""
"서울특별시 강남구 도곡동","963","0963","0000","럭키(963)","124.1","202108","8","260,000","13","1995","논현로 213",""
"서울특별시 강남구 도곡동","467-7","0467","0007","아카데미스위트1","128.74","202108","4","250,000","23","2004","언주로30길 21",""
"서울특별시 강남구 도곡동","895-8","0895","0008","한신엠비씨","84.74","202108","19","211,000","6","1988","논현로 205",""
"서울특별시 강남구 삼성동","142-3","0142","0003","LG선릉에클라트(B)","36.35","202108","11","36,700","11","2004","테헤란로63길 12",""
"서울특별시 강남구 삼성동","142-3","0142","0003","LG선릉에클라트(B)","36.35","202108","11","36,000","10","2004","테헤란로63길 12",""
"서울특별시 강남구 삼성동","45-5","0045","0005","그라나다","77.77","202108","31","149,000","6","2002","선릉로112길 74",""
"서울특별시 강남구 삼성동","104-10","0104","0010","레미안삼성1차(104)","84.99","202108","6","228,000","5","2005","영동대로114길 56",""
"서울특별시 강남구 삼성동","16-2","0016","0002","삼성동힐스테이트 1단지","31.402","202108","5","125,000","6","2008","학동로68길 29",""
"서울특별시 강남구 삼성동","3-1","0003","0001","삼성월드타워","84.725","202108","3","118,730","2","1997","학동로 408",""
"서울특별시 강남구 삼성동","3-1","0003","0001","삼성월드타워","84.725","202108","3","118,730","3","1997","학동로 408",""
"서울특별시 강남구 삼성동","3-1","0003","0001","삼성월드타워","58.776","202108","3","88,770","10","1997","학동로 408",""
"서울특별시 강남구 삼성동","3-1","0003","0001","삼성월드타워","58.776","202108","3","88,770","9","1997","학동로 408",""
"서울특별시 강남구 삼성동","2","0002","0000","서광아파트","59.67","202108","2","165,000","9","1998","선릉로130길 19",""
"서울특별시 강남구 삼성동","2","0002","0000","서광아파트","84.93","202108","6","185,000","4","1998","선릉로130길 19",""
"서울특별시 강남구 세곡동","533","0533","0000","세곡푸르지오","59.89","202108","7","152,000","10","2012","자곡로 21",""
"서울특별시 강남구 세곡동","533","0533","0000","세곡푸르지오","84.83","202108","17","175,000","4","2012","자곡로 21",""
"서울특별시 강남구 수서동","746","0746","0000","까치마을","34.44","202108","4","105,000","14","1993","광평로19길 10",""
"서울특별시 강남구 수서동","738","0738","0000","동익","84.46","202108","10","170,000","9","1993","광평로39길 3",""
"서울특별시 강남구 수서동","738","0738","0000","동익","84.46","202108","14","177,000","12","1993","광평로39길 3",""
"서울특별시 강남구 신사동","635-14","0635","0014","금광아크존(635-14)","58.35","202108","19","130,000","5","2004","압구정로42길 36",""
"서울특별시 강남구 역삼동","755-4","0755","0004","e-편한세상","59.606","202108","7","206,500","12","2005","선릉로69길 20",""
"서울특별시 강남구 역삼동","716-3","0716","0003","개나리SK뷰","84.99","202108","17","280,000","18","2012","역삼로 315-1",""
"서울특별시 강남구 역삼동","754","0754","0000","개나리래미안","84.93","202108","7","230,000","13","2006","역삼로 306",""
"서울특별시 강남구 역삼동","722","0722","0000","경남아너스빌","84.688","202108","1","162,000","13","2002","언주로85길 13",""
"서울특별시 강남구 역삼동","761-10","0761","0010","대림역삼","84.96","202108","9","200,000","6","1997","언주로 316",""
"서울특별시 강남구 역삼동","727-2","0727","0002","대명벨리온","17.684","202108","3","18,000","3","2012","역삼로25길 27","20210805"
"서울특별시 강남구 역삼동","727-2","0727","0002","대명벨리온","17.684","202108","3","18,000","3","2012","역삼로25길 27",""
"서울특별시 강남구 역삼동","720-25","0720","0025","대우디오빌","30.03","202108","3","30,500","18","2002","언주로 427",""
"서울특별시 강남구 역삼동","762-3","0762","0003","래미안그레이튼(진달래2차)","59.91","202108","7","197,000","16","2010","도곡로43길 21",""
"서울특별시 강남구 역삼동","901","0901","0000","시티프라디움 더 강남 201동","70.54","202108","5","149,500","17","2021","언주로 555",""
"서울특별시 강남구 역삼동","795-41","0795","0041","역삼동월드메르디앙","84.53","202108","3","159,000","3","2005","도곡로21길 15",""
"서울특별시 강남구 역삼동","757","0757","0000","역삼래미안","59.53","202108","10","196,000","10","2005","선릉로69길 19",""
"서울특별시 강남구 역삼동","754-1","0754","0001","역삼푸르지오","84.9097","202108","7","265,000","9","2006","언주로 332",""
"서울특별시 강남구 역삼동","706-10","0706","0010","우림루미아트2","23.9","202108","2","25,000","4","2003","언주로90길 4",""
"서울특별시 강남구 역삼동","735-15","0735","0015","이스턴오피스텔","14.92","202108","4","19,300","12","2014","테헤란로14길 13",""
"서울특별시 강남구 율현동","365","0365","0000","강남한신휴플러스6단지","59.98","202108","12","129,000","1","2015","밤고개로26길 50",""
"서울특별시 강남구 자곡동","611","0611","0000","래미안강남힐즈","91.96","202108","18","178,000","1","2014","자곡로 101",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","2","82,050","1","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","2","85,050","8","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","2","87,400","9","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","2","85,450","9","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","2","85,700","6","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","2","87,150","14","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","2","72,800","2","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","2","97,850","10","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","2","98,850","12","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","2","86,950","15","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","2","95,250","3","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","2","85,250","8","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.83","202108","3","94,550","8","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","3","84,100","2","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","3","82,850","1","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","3","84,050","6","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","3","88,250","13","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","3","93,950","2","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","3","88,150","11","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","3","83,700","3","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","3","86,850","9","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","3","85,000","6","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","3","76,550","14","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","3","88,000","15","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","4","72,150","2","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","4","72,800","3","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","4","83,100","2","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","4","86,150","7","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","4","73,100","3","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","4","86,250","15","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","4","87,550","14","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","4","86,850","8","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","4","98,850","13","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","4","86,850","8","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","5","150,000","13","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","5","72,100","2","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","5","87,750","13","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","5","87,650","10","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","5","82,200","2","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","5","85,950","6","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","5","81,400","1","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","5","75,600","10","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.83","202108","5","96,750","14","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.96","202108","5","99,350","11","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","5","73,250","5","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","5","95,650","4","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","5","99,150","15","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","5","85,000","4","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","6","88,000","15","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","6","85,550","7","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","6","86,950","12","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","6","84,900","8","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","6","76,700","13","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","6","76,550","11","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","6","75,850","10","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","6","86,250","8","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","6","76,200","12","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","6","72,250","1","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","6","85,750","10","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","9","84,750","4","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","9","95,650","5","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","9","76,450","10","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","9","85,500","5","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","9","86,700","12","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","9","83,550","5","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","9","98,350","10","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.83","202108","9","96,600","13","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","9","94,450","3","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","9","73,250","4","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","9","85,900","6","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","9","72,350","2","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","9","86,700","12","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","10","75,200","8","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","10","87,650","10","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","10","76,550","14","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.83","202108","10","96,450","11","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","10","88,250","14","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","10","86,300","7","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","10","87,550","15","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","10","85,900","6","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","10","82,550","2","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","10","83,050","4","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","10","84,250","3","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.83","202108","10","93,950","7","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","10","85,200","8","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","10","83,700","3","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","10","88,250","14","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","10","76,000","15","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.96","202108","10","95,150","3","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","11","88,150","11","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","11","87,400","13","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","11","86,600","14","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","11","85,150","6","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","11","84,850","8","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","11","85,200","6","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","11","86,700","9","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","11","81,600","1","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","11","86,150","9","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","11","87,300","9","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","11","72,250","2","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","11","76,800","14","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","11","72,100","2","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","11","97,750","9","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","11","84,150","4","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","12","86,700","13","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","12","94,850","4","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","12","96,100","7","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","12","75,350","9","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.96","202108","12","96,300","5","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","12","75,300","7","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","12","74,750","6","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","12","88,000","13","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","12","83,100","3","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.83","202108","12","90,750","1","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","12","85,000","6","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","12","85,650","9","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.83","202108","12","96,400","15","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.83","202108","12","93,600","6","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","13","83,400","5","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.83","202108","13","90,750","1","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","13","75,850","9","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","13","86,700","8","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","13","76,400","12","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.83","202108","13","95,150","9","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","13","98,000","10","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","13","74,850","7","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","13","74,400","8","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","13","98,000","10","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","13","81,600","1","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","13","85,700","7","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","13","86,350","7","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.89","202108","13","83,300","4","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","13","83,850","5","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","13","86,300","7","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.92","202108","17","96,100","5","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","17","87,850","12","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","17","85,400","8","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","17","88,250","14","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","17","72,000","1","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","59.96","202108","17","75,450","7","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","84.83","202108","17","95,650","10","2014","자곡로 175",""
"서울특별시 강남구 자곡동","602","0602","0000","엘에이치강남아이파크","74.97","202108","17","87,850","15","2014","자곡로 175",""
