2022-07-22,여름학기 (1-4주) 강의 종료,2022-07-22,1st half of Summer semester (week 1-4) ends
2022-07-25,여름학기 (5-8주) 강의 시작,2022-07-25,2nd half of Summer semester (week 5-8) begins
2022-07-28 ~ 2022-08-05,여름학기 (5-8주) 수강신청 취소,2022-07-28 ~ 2022-08-05,Period to drop for 2nd half of Summer semester (week 5-8) 
2022-08-01 ~ 2022-08-05,가을학기 석·박사과정 신입생 등록 (납입금 납부)  ,2022-08-01 ~ 2022-08-05,Fall 2022 registration / tuition payment for matriculating graduate students
2022-08-01 ~ 2022-08-05,가을학기 학·석·박사과정 복학신청 및 전과신청,2022-08-01 ~ 2022-08-05,"Fall 2022 application for academic reinstatement (returning), changing major"
2022-08-01 ~ 2022-08-05,가을학기 석·박사과정 시간제·전일제 신청,2022-08-01 ~ 2022-08-05,Fall 2022 application for full-time / part-time status registration
2022-08-08 ~ 2022-08-12 ,가을학기 석·박사과정 신입생 수강신청,2022-08-08 ~ 2022-08-12 ,Course registration for Fall 2022 classes
2022-08-08 ~ 2022-08-12 ,가을학기 학·석·박사과정 수강신청 및 복학(대상)자 수강신청,2022-08-08 ~ 2022-08-12 ,"Fall 2022 course registration for matriculating graduate students, returning students"
2022-08-08 ~ 2022-08-12 ,여름학기 강의평가,2022-08-08 ~ 2022-08-12 ,Course evaluation for Summer 2022 classes
2022-08-15,광복절,2022-08-15,National Liberation Day
2022-08-19,2022년 8월 박사과정 학위수여기준일,2022-08-19,Completion date for doctor's degree in August 2022
2022-08-19,여름학기 (1-8주 / 5-8주) 강의 종료,2022-08-19,Summer (week 1-8) & 2nd half of Summer semester (week 5-8) ends
2022-08-19,여름학기 종강 ,2022-08-19,End of Summer 2022 classes
2022-08-22 ~ 2022-08-26,가을학기 학·석·박사과정 재학생 등록 (납입금 납부)  ,2022-08-22 ~ 2022-08-26,Fall 2022 tuition payment for current enrollees and returning students
2022-08-22 ~ 2022-09-05,가을학기 수강신청 변경,2022-08-22 ~ 2022-09-05,Period to add / drop Fall 2022 classes 
2022-08-23,여름학기 성적입력 마감,2022-08-23,Deadline to enter grades for Summer 2022
2022-08-25 ~ 2022-08-26,가을학기 학사/대학원 외국인 신입생 오리엔테이션,2022-08-25 ~ 2022-08-26,Orientation for matriculating international undergraduate/graduate students
2022-08-28,2022년 8월 학·석사과정 학위수여기준일,2022-08-28,Completion date for bachelor's/master's degree in August 2022
2022-08-29,가을학기 개강,2022-08-29,Beginning of Fall 2022 classes
2022-08-29 ~ 2022-08-31,학사과정 가을학기 학점인정시험 신청,2022-08-29 ~ 2022-08-31,Registration period for Fall 2022 course waiver exam for undergraduate students
2022-08-29 ~ 2022-09-13,석·박사과정 학제전공 신청·취소,2022-08-29 ~ 2022-09-13,Period to register / drop interdisciplinary majors for graduate students
2022-08-29 ~ 2022-09-13,학·석·박사과정 부전공 및 학사과정 복수전공·심화전공·자유융합전공·지정융합전공 신청,2022-08-29 ~ 2022-09-13,Period to declare minor for undergraduate / graduate students or double major / advanced major / individually designed major / designated interdisciplinary major for undergraduate students
2022-08-29 ~ 2022-09-13,학사과정 Honor Program 신청,2022-08-29 ~ 2022-09-13,Period to apply for Honor Program for undergraduate students
2022-08-29 ~ 2022-09-23,학·석·박사과정 부전공 및 학사과정 복수전공·심화전공·자유융합전공·지정융합전공 취소,2022-08-29 ~ 2022-09-23,Period to drop minor for undergraduate / graduate students or double major / advanced major / individually designed major / designated interdisciplinary major for undergraduate students
2022-08-29 ~ 2022-09-23,학사과정 조기졸업신청,2022-08-29 ~ 2022-09-23,Period to apply for early graduation for undergraduate students
2022-09-01 ~ 2022-09-05,학사과정 가을학기 학점인정시험,2022-09-01 ~ 2022-09-05,Fall 2022 course waiver exam for undergraduate students
2022-09-05,가을학기 수강신청 변경 마감,2022-09-05,Deadline to add / drop Fall 2022 classes
2022-09-06 ~ 2022-10-14,학사과정 2006 이전 학번 및 학·석·박사과정 2009 이후 학번 가을학기 수강신청 취소,2022-09-06 ~ 2022-10-14,Period to drop for Fall 2022 classes for undergraduate students (who matriculated in 2009 or after and 2006 or before) and graduate students (who matriculated in 2009 or after)
2022-09-06 ~ 2022-10-28,"학사과정 2007, 2008 학번 및 석·박사과정 2008 이전 학번 가을학기 수강신청 취소",2022-09-06 ~ 2022-10-28,"Period to drop for Fall 2022 classes for undergraduate students (who matriculated in 2007, 2008) and graduate students (who matriculated in 2008 or before)"
2022-09-09 ~ 2022-09-11,추석연휴,2022-09-09 ~ 2022-09-11,"Chuseok, Korean Thanksgiving Day"
2022-09-12,추석연휴(대체공휴일),2022-09-12,"Chuseok, Korean Thanksgiving Day(substitute holiday)"
2022-09-13,석·박사과정 학제전공 신청·취소 마감,2022-09-13,Deadline to register / drop interdisciplinary majors for graduate students
2022-09-13,학·석·박사과정 부전공 및 학사과정 복수전공·심화전공·자유융합전공·지정융합전공 신청 마감,2022-09-13,Deadline to declare minor for undergraduate / graduate students or double major / advanced major / individually designed major for undergraduate students
2022-09-13,학사과정 Honor Program 신청 마감,2022-09-13,Deadline to apply for Honor Program for undergraduate students
2022-09-23,학·석·박사과정 부전공 및 학사과정 복수전공·심화전공·자유융합전공·지정융합전공 취소 마감,2022-09-23,Deadline to drop minor for undergraduate / graduate students or double major / advanced major / individually designed major for undergraduate students
2022-09-23,학사과정 조기졸업 신청 마감,2022-09-23,Deadline to apply for early graduation for undergraduate students
2022-09-23 ~ 2022-09-24,KAIST-POSTECH 학생대제전(연습반 휴강),2022-09-23 ~ 2022-09-24,KAIST-POSTECH Science War
2022-10-01 ~ 2022-10-07,학부생과 지도교수와의 만남의 주간,2022-10-01 ~ 2022-10-07,Week for undergraduate students' meetings with advisors
2022-10-03,개천절,2022-10-03,National Foundation Day of Korea
2022-10-09,한글날,2022-10-09,Hangul Proclamation Day 
2022-10-10,한글날(대체공휴일),2022-10-10,Hangul Proclamation Day(substitute holiday)
2022-10-10 ~ 2022-10-14  ,가을학기 중간 강의평가,2022-10-10 ~ 2022-10-14  ,Mid-term course evaluation for Fall 2022 classes 
2022-10-14,학사과정 2006 이전 학번 및 학·석·박사과정 2009 이후 학번 가을학기 수강신청 취소 마감,2022-10-14,Deadline to drop for Fall 2022 classes for undergraduate students (who matriculated in 2009 or after and 2006 or before) and graduate students (who matriculated in 2009 or after)
2022-10-17 ~ 2022-10-21,가을학기 중간고사,2022-10-17 ~ 2022-10-21,Fall 2022 mid-term exams
2022-10-28,"학사과정 2007, 2008 학번 및 석·박사과정 2008 이전 학번 가을학기 수강신청 취소 마감",2022-10-28,"Deadline to drop for Fall 2022 classes for undergraduate students (who matriculated in 2007, 2008) and graduate students (who matriculated in 2008 or before)"
2022-10-31,박사학위 청구 심사용 논문 제출마감 (2023.2월 졸업자),2022-10-31,Deadline to submit dissertation defense for doctoral students (for those expecting to graduate in February 2023) 
2022-11-01 ~ 2022-11-07,학과장과 랩대표와의 만남의 주간,2022-11-01 ~ 2022-11-07,Week for lab. leaders' meetings with department heads
2022-11-04,2023학년도 봄학기 교양·기초·전공과목 개설(안) 제출 마감,2022-11-04,"Deadline to submit course descriptions / plans regarding liberal arts, basic courses and major classes for Spring 2023"
2022-11-04,2022학년도 겨울학기 교과목 개설(안) 제출 마감,2022-11-04,Deadline to submit course descriptions / plans for Winter 2022
2022-11-04,2023학년도 가을학기 전공교과목 개설(안) 초안 제출 마감,2022-11-04,Deadline to submit course descriptions / plans regarding major classes for Fall 2023
2022-11-15 ~ 2022-11-17,KAIST 학생문화제(연습반휴강),2022-11-15 ~ 2022-11-17,KAIST Student Culture Festival (No Practice Sessions)
2022-11-21 ~ 2022-11-24,겨울학기 수강신청,2022-11-21 ~ 2022-11-24,Registration for Winter 2022 classes
2022-11-28 ~ 2022-12-09,학사과정 학과신청,2022-11-28 ~ 2022-12-09,Period for department registration for undergraduate students
2022-11-28 ~ 2022-12-09,가을학기 강의평가,2022-11-28 ~ 2022-12-09,Course evaluation for Fall 2022 classes
2022-11-30,박사학위 청구논문 심사 개최 요청 마감 (2023.2월 졸업자),2022-11-30,Deadline to request dissertation defense evaluation (for doctoral students expecting to graduate in February 2023) 
2022-11-30,학·석사학위 청구 심사용 논문 제출 마감 (2023.2월 졸업자),2022-11-30,Deadline to submit thesis defense for undergraduate and master's students (for those expecting to graduate in February 2023)
2022-12-12 ~ 2022-12-16,가을학기 학기말 시험,2022-12-12 ~ 2022-12-16,Fall 2022 final exams
2022-12-14 ~ 2022-12-21,겨울학기 수강신청 변경,2022-12-14 ~ 2022-12-21,Period to add / drop Winter 2022 classes
2022-12-15,박사학위 청구 논문심사 기간 마감 (2023.2월 졸업자),2022-12-15,Deadline for dissertation defense evaluation for doctoral students (for those expecting to graduate in February 2023)
2022-12-16,가을학기 종강,2022-12-16,End of Fall 2022 classes
2022-12-19,겨울학기 개강,2022-12-19,Beginning of Winter 2022 classes
2022-12-20,박사학위 청구논문 심사 결과보고서 제출 마감 (2023.2월 졸업자),2022-12-20,Deadline to post final dissertation evaluation results for doctoral students (for those expecting to graduate in February 2023)
2022-12-22,가을학기 성적입력 마감,2022-12-22,Deadline to enter grades for Fall 2022
2022-12-22 ~ 2022-12-30,겨울학기 수강신청 취소,2022-12-22 ~ 2022-12-30,Period to drop Winter 2022 classes
2022-12-25,성탄절,2022-12-25,Christmas Day 
2022-12-27,학·석사학위 논문심사 기간 마감 (2023.2월 졸업자),2022-12-27,Deadline for thesis review for bachelor's and master's degrees (for those expecting to graduate in February 2023)
2022-12-27 ~ 2022-12-28,박사학위 인쇄논문 제출 (2023.2월 졸업자),2022-12-27 ~ 2022-12-28,Period to submit final dissertation for doctoral degree (for those expecting to graduate in February 2023)
2022-12-30,학·석사학위 청구논문 심사 결과보고서 제출 마감 (2023.2월 졸업자),2022-12-30,Deadline for thesis evaluation for undergraduate and master's students (for those expecting to graduate in February 2023)
2022-12-30,석사학위 논문계획서 제출 마감 (2022학년도 봄학기 입학생),2022-12-30,Deadline to submit thesis proposal for master's degree (for those students who matriculated in Spring 2022)
2023-01-01,신정,2023-01-01,New Year's Day
2023-01-02 ~ 2023-01-06,봄학기 석·박사과정 신입생 수강신청,2023-01-02 ~ 2023-01-06,Course registration for Spring 2023 classes
2023-01-02 ~ 2023-01-06,봄학기 학·석·박사과정 수강신청 및 복학(대상)자 수강신청,2023-01-02 ~ 2023-01-06,Spring 2023 course registration for matriculating graduate students & returning students
2023-01-09 ~ 2023-01-10,석사학위 인쇄논문 제출 (2023.2월 졸업자),2023-01-09 ~ 2023-01-10,Period to submit final thesis for master's degree (for those expecting to graduate in February 2023)
2023-01-16 ~ 2023-01-20,겨울학기 강의평가,2023-01-16 ~ 2023-01-20,Course evaluation for Winter 2022 classes
2023-01-21 ~ 2023-01-23,설날 연휴,2023-01-21 ~ 2023-01-23,Lunar New Year's Day
2023-01-24,설날 연휴(대체공휴일),2023-01-24,Lunar New Year's Day(substitute holiday)
2023-01-27,겨울학기 종강,2023-01-27,End of Winter 2022 classes
2023-01-30 ~ 2023-02-03,봄학기 학·석·박사과정 복학신청 및 전과신청,2023-01-30 ~ 2023-02-03,"Application for academic reinstatement (returning), changing major"
2023-01-30 ~ 2023-02-03,봄학기 석·박사과정 시간제·전일제 신청,2023-01-30 ~ 2023-02-03,Application for full-time / part-time status registration for Spring 2023
2023-01-30 ~ 2023-02-03,2023학년도 봄학기 석·박사과정 신입생 등록 (납입금 납부) ,2023-01-30 ~ 2023-02-03,Spring 2023 registration / tuition payment for matriculating graduate students
2023-01-31,겨울학기 성적입력 마감,2023-01-31,Deadline to enter grades for Winter 2022
2023-02-16,개교기념일,2023-02-16,KAIST Foundation Anniversary
2023-02-17,2023년 학위수여식,2023-02-17,KAIST Commencement 2023
2023-02-17,2023년 2월 박사과정 학위수여기준일,2023-02-17,Completion date for doctoral degree in February 2023
2023-02-20 ~ 2023-02-24,2023학년도 봄학기 학·석·박사과정 재학생 등록 (납입금 납부) ,2023-02-20 ~ 2023-02-24,Spring 2023 tuition payment for current enrollees and returning students
2023-02-20 ~ 2023-03-06,봄학기 수강신청 변경,2023-02-20 ~ 2023-03-06,Period to add / drop Spring 2023 classes
2023-02-22,2023년 학사과정 입학식,2023-02-22,KAIST Undergraduate Matriculation Ceremony 2023
2023-02-22 ~ 2023-02-24,봄학기 학사과정 신입생 오리엔테이션,2023-02-22 ~ 2023-02-24,Orientation for matriculating undergraduate students
2023-02-26,2023년 2월 학·석사과정 학위수여기준일,2023-02-26,Completion date for bachelor's/master's degree in February 2023
2023-02-27,봄학기 개강,2023-02-27,Beginning of Spring 2023 classes
2023-03-01,삼일절,2023-03-01,"Samiljeol, Independence Movement Day"
